,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
18302,,Malta,35.9375,14.3754,3/31/20,169,229.0,0,POINT (14.3754 35.9375)
18303,,Mauritania,21.0079,10.9408,3/31/20,6,150.0,1,POINT (10.9408 21.0079)
18304,,Mauritius,-20.2,57.5,3/31/20,143,19736.0,5,POINT (57.5 -20.2)
18305,,Mexico,23.6345,-102.5528,3/31/20,1094,259.0,28,POINT (-102.5528 23.6345)
18306,,Moldova,47.4116,28.3699,3/31/20,353,25.0,4,POINT (28.3699 47.4116)
18307,,Monaco,43.7333,7.4167,3/31/20,52,427.0,1,POINT (7.4167 43.7333)
18308,,Mongolia,46.8625,103.8467,3/31/20,12,20996.0,0,POINT (103.8467 46.8625)
18309,,Montenegro,42.5,19.3,3/31/20,109,7.0,2,POINT (19.3 42.5)
18310,,Morocco,31.7917,-7.0926,3/31/20,617,514.0,36,POINT (-7.0926 31.7917)
18311,,Namibia,-22.9576,18.4904,3/31/20,11,74.0,0,POINT (18.4904 -22.9576)
18312,,Nepal,28.1667,84.25,3/31/20,5,36.0,0,POINT (84.25 28.1667)
18313,Aruba,Netherlands,12.5186,-70.0358,3/31/20,55,4.0,0,POINT (-70.03579999999999 12.5186)
18314,Curacao,Netherlands,12.1696,-68.99,3/31/20,11,6325.0,1,POINT (-68.98999999999999 12.1696)
18315,Sint Maarten,Netherlands,18.0425,-63.0548,3/31/20,6,93.0,0,POINT (-63.0548 18.0425)
18316,,Netherlands,52.1326,5.2913,3/31/20,12595,9.0,1039,POINT (5.2913 52.1326)
18317,,New Zealand,-40.9006,174.886,3/31/20,647,1.0,1,POINT (174.886 -40.9006)
18318,,Nicaragua,12.8654,-85.2072,3/31/20,5,54.0,1,POINT (-85.2072 12.8654)
18319,,Niger,17.6078,8.0817,3/31/20,27,3.0,3,POINT (8.0817 17.6078)
18320,,Nigeria,9.082,8.6753,3/31/20,135,0.0,2,POINT (8.6753 9.082000000000001)
18321,,North Macedonia,41.6086,21.7453,3/31/20,329,0.0,9,POINT (21.7453 41.6086)
18322,,Norway,60.472,8.4689,3/31/20,4641,7.0,39,POINT (8.4689 60.472)
18323,,Oman,21.0,57.0,3/31/20,192,500.0,1,POINT (57 21)
18324,,Pakistan,30.3753,69.3451,3/31/20,1938,0.0,26,POINT (69.3451 30.3753)
18325,,Panama,8.538,-80.7821,3/31/20,1181,915.0,30,POINT (-80.7821 8.538)
18326,,Papua New Guinea,-6.315,143.9555,3/31/20,1,13.0,0,POINT (143.9555 -6.315)
18327,,Paraguay,-23.4425,-58.4438,3/31/20,65,1.0,3,POINT (-58.4438 -23.4425)
